Row ID,Order ID,Order Date,Ship Date,Ship Mode,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2014-103800,1/3/2014,1/7/2014,Standard Class,Consumer,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.5512
2,CA-2014-112326,1/4/2014,1/8/2014,Standard Class,Home Office,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.2717
3,CA-2014-112326,1/4/2014,1/8/2014,Standard Class,Home Office,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.7748
4,CA-2014-112326,1/4/2014,1/8/2014,Standard Class,Home Office,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.8,-5.487
5,CA-2014-141817,1/5/2014,1/12/2014,Standard Class,Consumer,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884
6,CA-2014-130813,1/6/2014,1/8/2014,Second Class,Consumer,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0,9.3312
7,CA-2014-106054,1/6/2014,1/7/2014,First Class,Corporate,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0,5.2398
8,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,Home Office,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0,746.4078
9,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,Home Office,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0,274.491
10,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,Home Office,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0,1.4796
11,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,Home Office,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0,113.6742
12,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,Home Office,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0,204.1092
13,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,Home Office,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0,0.3112
14,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,Home Office,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0,3.0084
15,CA-2014-105417,1/7/2014,1/12/2014,Standard Class,Consumer,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,3,0.6,-53.7096
16,CA-2014-105417,1/7/2014,1/12/2014,Standard Class,Consumer,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,0.8,-18.2525
17,CA-2014-135405,1/9/2014,1/13/2014,Standard Class,Consumer,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.168
18,CA-2014-135405,1/9/2014,1/13/2014,Standard Class,Consumer,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75
19,CA-2014-149020,1/10/2014,1/15/2014,Standard Class,Corporate,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1,0,1.3583
20,CA-2014-149020,1/10/2014,1/15/2014,Standard Class,Corporate,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0,21.2954
21,CA-2014-130092,1/11/2014,1/14/2014,First Class,Consumer,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0,3.0814
22,CA-2014-162775,1/13/2014,1/15/2014,Second Class,Corporate,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0,5.3392
23,CA-2014-162775,1/13/2014,1/15/2014,Second Class,Corporate,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0,25.47
24,CA-2014-162775,1/13/2014,1/15/2014,Second Class,Corporate,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,258.696
25,CA-2014-162775,1/13/2014,1/15/2014,Second Class,Corporate,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,3,0,2.7072
26,CA-2014-162775,1/13/2014,1/15/2014,Second Class,Corporate,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0,34.3548
27,CA-2014-109232,1/13/2014,1/16/2014,Second Class,Consumer,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0,87.3504
28,CA-2014-157147,1/13/2014,1/18/2014,Standard Class,Consumer,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0,238.653
29,CA-2014-157147,1/13/2014,1/18/2014,Standard Class,Consumer,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294
30,CA-2014-157147,1/13/2014,1/18/2014,Standard Class,Consumer,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0,6.567
31,CA-2014-118192,1/13/2014,1/18/2014,Standard Class,Consumer,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.408,7,0.2,13.0928
32,CA-2014-118192,1/13/2014,1/18/2014,Standard Class,Consumer,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,2,0.7,-2.5212
33,CA-2014-149524,1/14/2014,1/15/2014,First Class,Corporate,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.2856
34,CA-2014-103366,1/15/2014,1/17/2014,First Class,Consumer,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0,65.978
35,CA-2014-115791,1/16/2014,1/18/2014,Second Class,Consumer,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,6,0.2,28.5984
36,CA-2014-115791,1/16/2014,1/18/2014,Second Class,Consumer,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05
37,CA-2014-115791,1/16/2014,1/18/2014,Second Class,Consumer,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.588,2,0.7,-13.6312
38,CA-2014-115791,1/16/2014,1/18/2014,Second Class,Consumer,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,3,0.2,10.1493
39,CA-2014-123477,1/18/2014,1/21/2014,Second Class,Corporate,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.4864
40,CA-2014-146591,1/19/2014,1/20/2014,First Class,Consumer,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716
41,CA-2014-146591,1/19/2014,1/20/2014,First Class,Consumer,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,4,0.2,19.6224
42,CA-2014-146591,1/19/2014,1/20/2014,First Class,Consumer,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693
43,CA-2014-146591,1/19/2014,1/20/2014,First Class,Consumer,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.597
44,US-2014-147627,1/20/2014,1/26/2014,Standard Class,Consumer,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,7,0,181.9818
45,US-2014-147627,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7,0,6.6584
